NM_UF,NM_UF_SIGLA,AR_UF_2019
Rondônia,RO,237765.24
Acre,AC,164123.964
Amazonas,AM,1559167.889
Roraima,RR,223644.527
Pará,PA,1245870.798
Amapá,AP,142470.762
Tocantins,TO,277466.763
Maranhão,MA,329642.182
Piauí,PI,251756.515
Ceará,CE,148894.441
Rio Grande do Norte,RN,52809.602
Paraíba,PB,56467.242
Pernambuco,PE,98067.881
Alagoas,AL,27843.295
Sergipe,SE,21925.424
Bahia,BA,564760.427
Minas Gerais,MG,586521.123
Espirito Santo,ES,46074.447
Rio de Janeiro,RJ,43750.427
São Paulo,SP,248219.481
Paraná,PR,199298.979
Santa Catarina,SC,95730.684
Rio Grande do Sul,RS,281707.156
Mato Grosso do Sul,MS,357145.534
Mato Grosso,MT,903207.019
Goiás,GO,340203.329
Distrito Federal,DF,5760.783
