NM_UF_SIGLA,NM_UF,POP_UF_2019
BR,Brasil,210147125
,Região Norte,18430980
RO,Rondônia,1777225
AC,Acre,881935
AM,Amazonas,4144597
RR,Roraima,605761
PA,Pará,8602865
AP,Amapá,845731
TO,Tocantins,1572866
,Região Nordeste,57071654
MA,Maranhão,7075181
PI,Piauí,3273227
CE,Ceará,9132078
RN,Rio Grande do Norte,3506853
PB,Paraíba,4018127
PE,Pernambuco,9557071
AL,Alagoas,3337357
SE,Sergipe,2298696
BA,Bahia,14873064
,Região Sudeste,88371433
MG,Minas Gerais,21168791
ES,Espírito Santo,4018650
RJ,Rio de Janeiro,17264943
SP,São Paulo,45919049
,Região Sul,29975984
PR,Paraná,11433957
SC,Santa Catarina,7164788
RS,Rio Grande do Sul,11377239
,Região Centro-Oeste,16297074
MS,Mato Grosso do Sul,2778986
MT,Mato Grosso,3484466
GO,Goiás,7018354
DF,Distrito Federal,3015268
